Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
Critical Mass Erfurt,Wir behindern nicht den Verkehr -wir sind der Verkehr,"Willy-Brandt-PLatz Thälmannstraße, Krämpferstraße, WEnigemarkt Barfüßerstraße Lutherstraße Magdeburger Allee Juri-Gagarin-Ring Heinrichstraße Blumenstraße Moritzstraße Ende Fischmarkt oder Domplatz",2021-07-30 00:00:00,18:30-21:00,2021
Volt Deutschland - Landesverband Thüringen,Endlich neue Politik,"ANger-->Wenigemarkt--Domplatz-->über ""Lange Brücke""--> Staatskanzlei-->Anger ",2021-07-31 00:00:00,17:00 - 17:45 Uhr,2021
Ahmadiyya Muslim Jamaat KdöR,"Liebe für Alle, Hass für Keinen/Muslime gegen Rassismus",Schlösserbrücke Erfurt,2021-07-31 00:00:00,12:30-17:30,2021
Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Rathausbrücke,2021-08-14 00:00:00,14:00 - 17:00 Uhr,2021
Students For Future Germany,Ohne Kerosin nach Berlin Südtour,,27.08.2021 + 29.08.2021,,2021
Deutscher Falum Dafa Verein,Falum Dafa und die Verfolgung durch die kommunistische Partei Chinas,vor Anger 1,2021-08-21 00:00:00,11:00 - 18:30 Uhr,2021
Menschliche Welt,Für die Menschlichkeit,Domplatz am Obelisk,17.08.2021,16:00-17:30,2021
Einzelperson,"Vor Gericht stehen zwei, gemeint sind wir alle! - Solidarität mit den Betroffenen von Repressionen.""",Amtsgericht ERfurt Rudolfstraße 46,2021-08-24 00:00:00,7:30-15:00,2021
Fridays for Future Erfurt,Wer hat der gibt- Reichtum konsequent besteuern,"Willy-Brandt-Platz, Bahnhofstraße, Angerdreieck(ZW) Schlösserstraße, Fischmarkt (ZW) Marktstraße, Domstraße Mainzerhofstraße Theaterplatz, Ecke Theaterplatz/Maximilian Welsch-Straße (ZW) Maximiliean-Welsch-Straße Lauentor, Domplatz Andreasstraße Nordhäuser Straße Fußweg und Fläche neben der Zufahrt zum Helios Notfallzentrum (Abschlußkundgebung) ",2021-08-21 00:00:00,13:30- 17:30,2021
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Weltfriedenstag und 17-Jähriges der Donnerstagsdemo ,",Angerdreieck,"02.09.2021,",17:00-18:00,2021
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Corona Krisenmanagement,Angerdreick,2021-09-30 00:00:00,17:00 - 18:00,2021
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Der Mietpreis-Wahnsinn und seine Ursachen,Angerdreieck,2021-10-22 00:00:00,17:00-18:00,2021
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Gedenken an die Reichsprogromnacht,Angerdreieck,2021-11-11 00:00:00,17:00 -18:00,2021
dieBasis LV Thüringen,Wahlkampfkundgebung,Domplatz,2021-09-04 00:00:00,14:00 - 17:00,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-08-12 00:00:00,11.00 - 12.00 Uhr,2021
Migranten Omid Verein (MOVE) e.V.,Evakuierung aller Gefährdeten aus Afghanistan jetzt!,"vor Thüringer Staatskanzlei, Regierungsstraße 73",2021-08-18 00:00:00,16.30 - 18.30 Uhr,2021
Thüringer Verband der verfolgten des Naziregimes / Bund der Antifaschisten e.V.,Erinnern - Mahnen - Gedenken,"Hauptfriedhof, Denkmal Opfer des Faschismus",2021-09-12 00:00:00,10.00 - 11.00 Uhr,2021
Critical Mass Erfurt,Fahrraddemo: Wir behindern nicht Verkehr - wir sind Verkehr,Willy-Brandt-Platz --> Bahnhofstunnel (zu Fuß) --> Schillerstraße --> Spielbergtor --> Weimarische Straße --> Azmannsdorfer Weg --> Geschwister-Scholl-Straße --> Am Alten Nordhäuser Bahnhof --> Leipziger Straße --> Greifswalder Straße --> Eugen-Richter-Straße --> Dieselstraße --> Paul-Schäfer-Straße --> Stotternheimer Straße --> Am Roten Berg --> Straße der Nationen --> Mittelhäuser Straße -->  Kreisverkehr (2 mal) --> Ilversgehofener Platz --> Magdeburger Allee --> Johannesstraße --> Juri-Gagarin Ring --> Krämpferstraße --> Johannesstraße --> Futterstraße --> Wenigemarkt --> Rathausbrücke --> Benediktsplatz --> Fischmarkt,2021-08-27 00:00:00,18:30 - 20:45 Uhr,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-08-23 00:00:00,11:00 - 12:00 Uhr,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-08-24 00:00:00,11:00 - 12:00 Uhr,2021
pro familia Landesverband Thüringen e.V.,Aktionstag International Safe Abortion Day - glob. Aktionstag für freie und legale Schwangerschaftsabbrüche,Angerdreieck,2021-09-28 00:00:00,11:00 - 17:00 Uhr,2021
CDU Erfurt,Wahlkampfauftritt des Spitzenkandidaten der CDU Deuschland Armin Laschet MdL,Angerdreieck,2021-09-03 00:00:00,14.00 - 22.00 Uhr,2021
Landesarbeitsgemeinschaft Frieden und Internationale Politik / DIE LINKE Thüringen,Friedenstour 2021 - Thüringen entrüstet - Jetzt!,vor Anger 1,2021-09-03 00:00:00,10.00 - 13.00 Uhr,2021
Einzelperson,"Aktion Wohnen - ""Gutes Wohnen überall""","Hirschgarten, Neuwerkstraße ggü. der Baumreihe am Hirschlachufer",2021-09-02 00:00:00,17.00 - 19.00 Uhr,2021
SPD Kreisverband Erfurt,Gedenkveranstaltung anlässlich des 100. Todestages von Paul Reißhaus,"Hauptfriedhof, Grabfeld 5 am Grabmal von Paul Reißhaus",2021-09-05 00:00:00,10.00 - 10.30 Uhr,2021
MdB,Abschlussveranstaltung Bundestagswahl,Freifläche Ecke Neuwerkstraße / Hirschlachufer,2021-09-25 00:00:00,09.00 - 16.00 Uhr,2021
AIDS-Hilfe Thüringen e.V.,Gedenkveranstaltung,Domplatz,2021-11-04 00:00:00,16.00 - 18.00 Uhr,2021
Auf die Plätze Bündnis Erfurt,Keinen Millimeter den Faschist:innen,Anger,2021-09-23 00:00:00,13.00 - 19.00 Uhr,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-09-02 00:00:00,11:00 - 12:00 Uhr,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-09-03 00:00:00,11:00 - 12:00 Uhr,2021
GDL,GDL Streik,Willy-Brandt-Platz,2021-09-06 00:00:00,11:00 - 12:00 Uhr,2021
Einzelperson,"Impfung gegen Corona, vor allem bei Kindern",Gehweg Gothaer Straße zwischen EGA und MDR Gebäude,2021-09-03 00:00:00,15.00 - 16.00 Uhr,2021
Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"06.09.2021, 13.09.2021, 20.09.2021, 27.09.2021",19:00 - 20:30 Uhr,2021
ADFC Kreisverband Erfurt,Transport der Klimabänder von Erfurt nach Jena,Radhaus --> Krämpfervorstadt --> Vieselbach --> Wallichen,2021-09-03 00:00:00,14:00 - 14:15 Uhr,2021
Frauenzentrum Brennessel e.V.,Für mehr Personal und mehr finanzielle Mittel für Kitas in Thüringen,"vor dem Thüringer Landtag, Jürgen-Fuchs-Straße 1",2021-09-09 00:00:00,16.30 - 19.00 Uhr,2021
DIE LINKE Stadtverband Erfurt,Wahlkampfevent,Am Platz vor dem Lutherdenkmal an der Berliner Brücke an der Karlsstraße,2021-09-03 00:00:00,15.00 - 20.00 Uhr,2021
